Full Name,Faculty,Research Interests
Sema Bayraktar Tür,School of Applied Sciences,"['banking', 'small medium enterprises', 'time series analysis', 'green finance', 'qualitative finance', 'international finance', 'financial crises', 'risk management', 'quantitative', 'sustainable finance']"
Merve Baysoy,Faculty of Business,"['applied macro', 'spatial econometrics', 'growth theory', 'international trade', 'economics', 'econometrics', 'macroeconomics']"
Fuat Beyazıt,School of Applied Sciences,"['option pricing', 'mathematical finance', 'interest rate models', 'risk management']"
Esra Ercan Bilgiç,Faculty of Communication,"['media social change', 'press history', 'media literacy', 'digital media children', 'new media studies']"
Mesrure Melis Bilgin,Faculty of Communication,"['theater', 'animation cinema', 'mythology', 'performance studies', 'cinema', 'performing arts', 'visual arts']"
İnci Bilgin Tekin,Faculty of Social Sciences and Humanities,"['rewriting', 'literature environment', 'theater', 'contemporary theories', 'mythology', 'adaptation']"
Bülent Bilmez,Faculty of Social Sciences and Humanities,"['modern german history', 'dersim history', 'collective memory dating confrontation / reckoning', 'history ottoman railways', 'collective identities', 'ottoman constitutional history modern balkans abilities albanians (luke) history', 'cultural plurality language rights', 'modern ottoman republic türkiye socioeconomic', 'political intellectual history']"
Hale Bolak,Faculty of Social Sciences and Humanities,"['social psychology', 'gender construction', 'health psychology', 'discrimination violence', 'gender', 'cultural context']"
Nurcan Boşdurmaz,General Education Department,"['early ottoman archeology', 'urban history', 'islamic period tomb building inscriptions']"
Büke Boşnak,Faculty of Social Sciences and Humanities,"['social movements', 'civil society', 'political sociology', 'turkish political life', 'european studies', 'gender']"
Cemil Boyraz,Faculty of Social Sciences and Humanities,"['political science', 'political economy', 'political life institutions']"
Tuğçe Bozkurt,Vocational School of Health Services,"['nursing', 'postoperative pain management', 'surgical nursing', 'cardiovascular nursing']"
Pelinsu Bulut Özer,Faculty of Social Sciences and Humanities,"['motherhood attachment', 'psychotherapy processoutcome', 'emotion regulation', 'child psychopathology']"
Evrim Büyükaslan Oosterom,School of Applied Sciences,"['3d garment simulation', 'fashion supply chain', 'fit', 'virtual reality', 'comfort', 'fashion buying', 'artificial intelligence', 'fashion retail']"
Cansu Canbolat,School of Advanced Vocational Studies,"['deep neural network', 'image processing', 'deep learning']"
Efkan Canşen,School of Applied Sciences,"['unification german principalities under prussian leadership emergence germany on historical stage', 'congress vienna napoleonic wars worker movements', '20th century thoughts revolutions antisemitism racism', 'late 19th century early 20th century political artistic economic sportive developments central europe', ' collapse empires building nation states', ' biedermeier age between 18151848 revolutionary aftermath']"
Can Cemgil,Faculty of Social Sciences and Humanities,"['international relations', 'foreign policy analysis dialectic', 'geopolitics']"
Gökhan Cintamür,School of Advanced Vocational Studies,"['corporate marketing', 'consumer behavior', 'brand management', 'service marketing']"
Özge Coşkun Sağlam,Vocational School of Health Services,"['anatomy', 'neuroanatomy', 'physiotherapy rehabilitation']"
Gergely Czukor,Faculty of Social Sciences and Humanities,"['labor psychology', 'social psychology organizational behavior']"
Furkan Çakır,Vocational School of Health Services,"['reliability validity', 'physiotherapy rehabilitation', 'ehealth', 'exercise', 'physiotherapy rehabilitation education informatics', 'telerehabilitation', 'quality life']"
Başak Çakmak,Faculty of Business,"['generative ai', 'game development', 'ui ux design', 'media studies', 'medical technologies', 'architectural design computing', 'crossdomain tool development', 'xr technologies']"
Aycan Çakmak Reyhan,Faculty of Health Sciences,"['pregnancy', 'prenatalpostnatal period', 'holistic rehabilitation chronic diseases', 'healthy lifestyle exercises', 'incontinence', 'psychosocial rehabilitation', ""women's health"", 'rehabilitation', 'orthopedic rehabilitation', 'telerehabilitation', 'physiotherapy', 'infertility']"
Deniz Çalış Kural,Faculty of Architecture,"['ottoman islamic architecture history urbanism art', 'ottoman islamic landscape culture history', 'contemporary landscape design theory urbanism urban culture', 'architectural design']"
Reşat Fuat Çam,Faculty of Business,"['philosophy art', 'media archaeology', 'filmphilosophy', 'virtual reality', 'artificial intelligence']"
Alişan Çapan,Faculty of Law,"['human rights', 'freedoms', 'fundamental rights', 'philosophy law', 'history law']"
Eda Çataklar,Faculty of Law,['intellectual property law']
Gökçe Çataloluk,Faculty of Law,"['ethics law', 'legal philosophy', 'systems theory', 'law education', 'law literature', 'social theory law', 'legal methodology']"
Alev Çavdar,Faculty of Social Sciences and Humanities,"['relational psychoanalytic interpretations dreams symbols', 'defense mechanisms', 'relationship between affect therapeutic relationship psychotherapy outcome', 'adult psychotherapy process']"
Kenan Çayır,Faculty of Social Sciences and Humanities,"['society', 'identity', 'citizenship', 'school books']"
Elif Zahide Çelebi,Vocational School of Health Services,"['reproductive health', 'urogynecology', 'sexual health', ""women's health"", 'perinatal care', 'infertility']"
Kerem Çelikboya,Faculty of Law,"['partnership rights', 'dividend distribution limitations', 'transfer commercial enterprises', 'corporate law', 'commercial enterprise law']"
Volkan Çetin,Faculty of Communication,"['photography', 'animation', 'video', 'new media technologies', '2d - 3d computer graphics']"
Sesil Çınar,Faculty of Engineering and Natural Sciences,['photopolymerization']
Ayça Çiftçi,Faculty of Communication,"['kurdish cinema', 'short film', 'feminist film studies', 'film politics', 'documentary cinema', 'video essay', 'gender issues film industries']"
Murat Dağlı,Faculty of Social Sciences and Humanities,"['historiography', 'comparative historical sociology', 'early modern ottoman history', 'social economic history']"
Aylin Dağsalgüler,Faculty of Communication,"['media economy politics', 'screen studies', 'television culture', 'audience research']"
Ali Deniz Dalgıç,Faculty of Engineering and Natural Sciences,"['biomaterials', 'tissue engineering', 'controlled drug delivery systems', 'regenerative medicine']"
Tuğba Dalyan,Faculty of Engineering and Natural Sciences,"['language models', 'text/image processing', 'natural language processing', 'data science', 'machine learning', 'deep learning']"
Selami Demirkol,General Education Department,"['civil servants legislation', 'tax law', 'consumer law', 'environmental law', 'tax procedure law', 'administrative procedure law', 'health law', 'human rights law', 'zoning laws', 'administration law']"
Ahmet Denker,Faculty of Engineering and Natural Sciences,"['intelligent reality', 'artificial intelligence', 'interactive 3d reconstruction']"
Bihter Dereli,General Education Department,"['foreign language teaching', 'teaching turkish a foreign language', 'turkish language education', 'education']"
Elif Elçin Dereli,Faculty of Health Sciences,"['validity', 'motor learning', 'reliability', ""parkinson's disease"", 'sustainability physiotherapy', 'environmental rehabilitation', 'posture disorders', 'rehabilitation technology', 'virtual reality based rehabilitation', 'physiotherapy', 'quality life', 'neural plasticity', 'joint protection principles', 'stroke', 'task oriented rehabilitation', 'spinal deformities', 'therapeutic exercise', 'rheumatological rehabilitation', 'delphi methodology', 'rehabilitation']"
Derin Derman,School of Advanced Vocational Studies,"['photography', 'animation', 'video', 'digital ethnography', 'visual analysis', '3d computer graphics', 'visual communication design']"
Fatma Didin,Faculty of Business,"['macroeconomics', 'economic growth development']"
Hasret Dikici Bilgin,Faculty of Social Sciences and Humanities,"['labor movement', 'political islam', 'electoral systems', 'coalition politics', 'radicalization', 'political elite', 'comparative politics', 'middle eastern elections political parties']"
Kenan Dinç,Faculty of Engineering and Natural Sciences,"['sustainability', 'management information system', 'decision support systems', 'supply chain management', 'logistics management']"
Kübra Doğan Yenisey,Faculty of Law,"['migrant workers', 'collective bargaining models', 'labor law', 'volunteering', 'new ways working', 'platform employees', 'teleworking', ' future work', 'social security law']"
Tomris Duymaz,Faculty of Health Sciences,"['pediatrics', 'lymphedema', 'manuel therapy', 'orthopedics', 'rehabilitation', 'physiotherapy']"
Zehra Düzgit,Faculty of Engineering and Natural Sciences,"['production planning', 'metaheuristic algorithms', 'operations research', 'logistics (warehouse management)', 'scheduling']"
Elif Hicret Ek Bektaş,School of Advanced Vocational Studies,"['modernism', 'meaning', 'airports', 'educational buildings', 'form', 'interior design', 'space']"
Yeliz Ekinci,Faculty of Engineering and Natural Sciences,"['data mining', 'operations research', 'business intelligence', 'decision analysis']"
Esengül Elibol,Faculty of Health Sciences,"['mindfulness', 'nursing image', 'critical thinking', 'organizational behavior', 'medical errors clinical risks management', 'nursing management', 'nursing education']"
Özlem Er,Faculty of Architecture,"['functional upgrade', 'global value chains', 'design management', 'design ability']"
Kuter Erdil,Faculty of Engineering and Natural Sciences,"['biomedical mems biosensors', 'flexible disposable devices', 'microtechnology', 'biomedical imaging optics']"
Emre Erdoğan,Faculty of Social Sciences and Humanities,"['turkish political life', 'political life institutions political sociology']"
Seda Ergüneş Emrağ,Faculty of Law,"['collective labor law', 'labor law', 'platform employees', 'social security law', 'teleworking']"
Itır Erhart,Faculty of Communication,"['human rights', 'social movements', 'sustainability', 'diversity inclusion', 'gender']"
Evrim Erişir,Faculty of Law,"['arbitration', 'concordat', 'restructuring companies', 'civil procedure', 'civil procedure law', 'enforcement bankruptcy law', 'mediation']"
Kemal Ilgar Eroğlu,Faculty of Engineering and Natural Sciences,"['iterated function systems', 'geometric measure theory', 'measure theory']"
Ivo Ozan Furman,Faculty of Communication,"['communication', 'twitter', 'contextual mapping', 'political economy data digital sociology', 'sociology', 'data visualization']"
Emine Eser Gegez,Faculty of Communication,"['brand management', 'reputation social responsibility', 'advertising', 'consumer behavior', 'marketing communication', 'research methods']"
Fırat Genç,Faculty of Social Sciences and Humanities,"['social movements', 'politics space', 'social theory', 'migration studies', 'sociology culture', 'historical sociology', 'urban studies']"
Ayça Ebru Giritligil,School of Advanced Vocational Studies,"['economic behavior', 'experimental economics', 'critical thinking']"
Yiğit Dağhan Gökdel,Faculty of Engineering and Natural Sciences,"['biomedical mems', 'biomedical electronics', 'magnetic mems', 'optical mems', 'mems microtechnology', 'electronic circuit design']"
Gülay Uğur Göksel,Faculty of Social Sciences and Humanities,"['political movements history political thought', 'comparative political movements', 'political sociology']"
Simge Göksoy,Faculty of Architecture,"['history design', 'design sustainability', 'design education', 'design thinking']"
Cemile Demir Gökyayla,Faculty of Law,"['foreign investment law', 'international commercial arbitration', 'distribution agreements', 'international construction law', 'international private law', 'international family law', 'international commercial law']"
Barika Göncü,Faculty of Communication,"['reputation management', 'corporate communication', 'crisis management', 'activist public relations', 'critical public relations', 'communication consultancy', 'crisis communication', 'public relations']"
Yunus Emre Gönen,General Education Department,"['türkiyeeu relations', 'decolonization', 'french political history', 'european arts history', 'revolutionary changes world', 'european integration', 'colonialism', 'european political history']"
Şahika Görgülü,Faculty of Communication,"['corporate communication', 'leadership', 'digital media', 'social inclusion', 'strategic communication']"
İdil Işıl Gül,Faculty of Law,"['sustainable development goals', 'rights persons with disabilities', 'human rights older persons', 'humanitarian law']"
İnci Çağla Gül Şenkardeş,School of Advanced Vocational Studies,"['blockchain technology', 'gender', 'technology society', 'new communication technologies']"
Enis Gümüş,Faculty of Social Sciences and Humanities,"['composition', 'performance', 'turkish music', 'improvisation', 'sound design', 'music theory']"
Erdem Günay,Faculty of Engineering and Natural Sciences,"['simulation optimization energy systems', 'energy electricity consumption estimation with data mining machine learning techniques', 'modeling', 'renewable energy types including solar wind bioenergy systems']"
Gonca Günay,Faculty of Business,"['women entrepreneurs', 'leadership', 'women executive positions', 'stereotype threat', 'justice organizations', 'business models social enterprises']"
Gürkan Günay,Faculty of Engineering and Natural Sciences,"['freight transportation', 'airport access', 'transportation planning', 'discrete choice models', 'mode choice', 'micromobility']"
Cihangir Gündoğdu,Faculty of Social Sciences and Humanities,"['ottoman socioeconomic history', 'ottoman society', 'ottoman thought history', 'ottoman institutions civilization']"
Gamze Gündüz,School of Advanced Vocational Studies,"['tool design', 'computation based design', 'digital craft', 'architectural geometry', 'digital design fabrication technologies', 'generative algorithms', 'robotic fabrication processes', 'material based design']"
Perihan Güner,Vocational School of Health Services,"['psychosocial challenges', 'professional quality life among healthcare professionals', 'psychosocial issues chronic illnesses']"
Doğan Güneş,Faculty of Engineering and Natural Sciences,"['computer aided engineering', 'computational fluid mechanics', 'thermofluids']"
Kutay Güneştepe,Faculty of Business,"['case method', 'innovation ecosystem', 'humantechnology interaction', 'entrepreneurship', 'sociomateriality', 'organizational routines', 'practice theory', 'institutional theory', 'power dynamics organizations', 'ethnography', 'discourse analysis', 'humanspace interaction', 'social movement dynamics']"
Aslı Gürer,Faculty of Social Sciences and Humanities,"['gesture', 'syntaxmorphology interface', 'syntaxphonology interface', 'prosody', 'language documentation']"
Dilek Gürsoy,Faculty of Business,"['visual design applications', 'design thinking', 'transmedia journalism', 'transmedia storytelling', 'visual design theories']"
İlknur Hacısoftaoğlu,School of Sport Sciences and Technology,"['olympic games', 'physical activity', ""women's sports"", 'body sports sociology', 'migration', 'migrant athletes', 'women', 'fandom', 'gender']"
Tuğrul Cabir Hakyemez,Faculty of Business,"['system dynamics', 'urban analytics', 'spatiotemporal data analysis', 'spatiotemporal crime prediction', 'graph learning', 'data science', 'machine learning', 'deep learning']"
Burcu Halaçoğlu,Faculty of Communication,"['directing', 'theater', 'actor training', 'michael chekhov acting technique', 'performing arts']"
Sibel Halfon,Faculty of Social Sciences and Humanities,"['therapeutic alliance', 'emotion regulation', 'mentalization', 'attachment', 'clinical psychology', 'psychodynamic psychotherapy']"
Nazan Haydari Pakkan,Faculty of Business,"['critical media pedagogy', 'radio history', 'intercultural communication', 'feminist media', 'radio sound studies', 'participatory action research', 'gender media']"
Ayşe Evren Hoşgör Çimen,Faculty of Business,"['turkish economy political history', 'sociology work', 'organizational theory', 'political economy', 'situation theory', 'business history']"
Ster Irmak Sav,Faculty of Health Sciences,"['urine protein analyses', 'tumor development', 'tumor biomarkers', 'cell biology', 'angiogenesis', 'composites', 'vascularization', 'protein biochemistry', 'proteomics', 'tissue engineering']"
Deniz İkizlerli,Faculty of Business,"['behavioral finance', 'investor behavior', 'stock market anomalies']"
Mehmet Murat İnceoğlu,Faculty of Law,"['law obligations', 'civil law']"
Aysa Jafari Farmand,Faculty of Engineering and Natural Sciences,"['braincomputer interface', 'machine learning artificial intelligence', 'electroencephalography', 'biomedical signal processing']"
Banu Kabakulak,Faculty of Engineering and Natural Sciences,"['data routing', ' heuristics', 'wireless sensor networks', 'activity scheduling']"
Nilüfer Kafescioğlu,Faculty of Social Sciences and Humanities,"['adult attachment', 'couple family therapy', 'couple relationships', 'emotion regulation']"
Seda Kalem Berk,Faculty of law,"['sociology law', 'access justice studies', 'feminist legal theory', 'qualitative research methods', 'sociology professions', 'law society studies']"
Selcan Kaplanvural,Vocational School of Health Services,"['mathematical modeling', 'nonlinear dynamics', 'safety', 'occupational accident', 'occupational health']"
Mert Zafer Kara,Faculty of Architecture,"['architectural design theories', 'architectural filmmaking', 'spatial memory archive', 'architecture design education', 'critical spatial practices', 'architectural representation']"
Nuri Kara,Faculty of Communication,"['educational technologies', 'vote', 'digital game']"
Kutay Karabağ,Faculty of Architecture,"['architectural photogrammetry', 'adaptive reuse industrial heritage', 'history theory computational design', 'architectural restoration adaptive reuse', 'heritage tourism', 'serious games', 'new building design traditional fabric', 'conservation theories', 'traditional mediterranean architecture']"
Serdar Karabatı,Faculty of Business,"['moral values', 'meaningful work', 'life satisfaction', 'values', 'value polarization', 'employee wellbeing']"
Tanay Karademir,Faculty of Engineering and Natural Sciences,"['geotechnical laboratory field tests data acquisition systems', 'design with geosynthetics', 'polymer materials engineering behaviors civil engineering', 'poor soil characterization', 'geotechnical engineering', 'highways railways infrastructure design construction']"
Hilal Karakaş,Vocational School of Health Services,"['multiple sclerosis', 'cognitive rehabilitation', 'motor imagery', 'chronic pain', 'music therapy']"
Ulaş Karan,Faculty of Law,"['european convention human rights law', 'freedom religion belief', 'individual application constitutional court', 'freedom association', 'freedom expression', 'individual application european court human rights', 'nondiscrimination', 'constitutional law', 'freedom assembly', 'nongovernmental organizations', 'social rights', 'right education', 'freedom art', 'hate crimes', 'constitutional judiciary', 'hate speech', 'right be forgotten', 'human trafficking']"
Ayhan Kaya,Faculty of Social Sciences and Humanities,"['populism', 'political participation', 'citizenship', 'democracy', 'diasporas', 'nationalism', 'radicalism', 'migration', 'multiculturalism', 'migrant integration']"
Mehmet Bedii Kaya,Faculty of Law,"['protection personal data', 'online child abuse', 'internet governance', 'biometric data', 'trust service provider', 'electronic seal', 'electronic commerce', 'digital service tax', 'server signing', 'online content moderation', 'information technology law', 'cyber security', 'privacy enhancing technologies', 'internet things', 'open data', 'time stamp', 'forensic informatics', 'digital transformation', 'cyber intelligence', 'open banking', 'blockchain', 'algorithmic transparency explainability', 'digital company', 'artificial intelligence', 'electronic payment services', 'digital services', 'industrial data', 'data governance', 'website authentication certificates', 'trust services', 'egovernment', 'electronic signature', 'registered electronic mail', 'cybercrime', 'privacy', 'electronic communications systems', 'commercial electronic communication']"
Nilay Kaya,Faculty of Social Sciences and Humanities,"['literature visuality', '20th century german literature', 'travel writing', 'exile literature', 'modern turkish literature', 'migration', 'literary modernism', 'brontë studies', 'literature film', 'evliya çelebi studies']"
Deniz Kelekçi,Faculty of Business,"['internal entrepreneurship', 'entrepreneurship', 'social entrepreneurship', 'change innovation', 'resilience', 'strategy', 'reputation']"
Elif Kendir Beraha,Faculty of Architecture,"['cultural landscapes', 'sustainable design', 'planning', 'tectonic culture', 'humanenvironment relationships', 'craft architecture', 'urban political ecology', 'architecture phenomenology']"
Ayşegül Kesirli Unur,Faculty of Communication,"['television studies', 'genre studies', 'television series', 'transnational adaptations']"
Ferda Keskin,Faculty of Social Sciences and Humanities,"['philosophy literature', 'ethics', 'contemporary french philosophy', 'philosophy social sciences', 'political philosophy']"
Umut Keskin,Faculty of Business,"['social choice theory', 'mathematical economics', 'decision theory']"
Fatma Nihan Ketrez Sözmen,Faculty of Social Sciences and Humanities,"['turkish', 'morphology', 'language acquisition', 'psycholinguistics', 'cognitive linguistics', 'linguistics']"
Azer Kılıç,Faculty of Social Sciences and Humanities,"['artificial intelligence', 'science technology studies', 'assisted reproductive technologies', 'work', 'medical sociology', 'economic sociology', 'gender', 'automation', 'social policy']"
Aylin Kılıç Cepdibi,General Education Department,"['political history türkiye', 'political theory', 'history political thinking', 'art', 'culture', 'feminism']"
Işıl Betül Kolaşınlı Ercan,Vocational School of Health Services,"['social development', 'preschool education', 'early childhood development', 'classroom climate']"
Hanefi Kurt,Faculty of Dentistry,"['occlusal splints', 'digital complete dentures', 'prosthodontic treatment', 'temporomandibular disorders', '3d printers', 'cad/cam technologies']"
Gülen Kurt Öncel,Vocational School,"['democracy', 'news writing analysis', 'journalism', 'new media studies', 'media']"
Gökçe Kurtulan Güner,Faculty of Law,"['comparative law', 'sale law', 'law obligations', 'trust law', 'property law']"
Ozan Kuyumcuoğlu,Faculty of Social Sciences and Humanities,"['history middle east', 'foreign policy analysis', 'turkish foreign policy']"
Merve Küçükali Öztürk,School of Applied Sciences,"['technology fashion products', 'yarn', 'sustainable fashion', 'nanotechnology', 'knitting weaving technologies', 'technical textiles']"
Emel Küpçü,Faculty of Engineering and Natural Sciences,"['virtual reality (vr)', 'machine learning (ml)', 'natural language processing (nlp)', 'augmented reality (ar)', 'metaverse', 'graphics programming', 'image processing', 'artificial intelligence (ai)']"
Burcu Kütükçüoğlu,Faculty of Architecture,"['aesthetics architecture', 'theory', 'criticism', 'method architectural design', 'architecture', 'planning design']"
Haluk Levent,Faculty of Business,"['wages', 'labor markets', 'social capital', 'returns education']"
Eser Levi,Faculty of Communication,"['online marketing', 'advertising', 'consumer behavior', 'brand management']"
Sinan Logie,Faculty of Architecture,"['over urbanization', 'urban sprawl', 'right city']"
Zeynep Maçkalı,Faculty of Social Sciences and Humanities,"['group psychotherapy', 'play', 'psychosocial intervention', 'creativity', 'positive clinical psychology', 'life satisfaction', 'bipolar disorders', 'wellbeing', 'early symptoms', 'art therapy', 'autism']"
Halil Nalçaoğlu,Faculty of Communication,"['digitalization', 'deconstruction', 'communication philosophy', 'cultural theory', 'technology society']"
Ahmet Nedim Narman,General Education Department,['mathematics']
Deniz Nebioğlu Kasapoğlu,Faculty of Business,"['behavioral macroeconomics', 'experimental macroeconomics', 'dsge modelling', 'public policy preferences']"
Yağmur Nuhrat,Faculty of Social Sciences and Humanities,"['language', 'sexuality gender football', 'ethics moral anthropology (via football', 'education urban space / traffic)']"
Ceyda Nur,Faculty of Engineering and Natural Sciences,"['nonlinear analysis', 'structural dynamics', 'modal analysis', 'earthquake']"
Beyza Oba,Faculty of Business,"['corporate governance', 'gender diversity', 'crowdfunding', 'sharing economy', 'alternative organizations']"
Burak Oder,Faculty of Law,"['administrative law', 'administrative procedure law', 'public economic law']"
Gül Okutan Nilsson,Faculty of Law,"['commercial law', 'intellectual property law']"
Özge Onursal Beşgül,Faculty of Social Sciences and Humanities,"['türkiyeeu relations', 'europeanisation', 'international organizations', 'european integration', 'social constructivism']"
Türkan Benan Orbay,Faculty of Business,['labor market']
İrem Otay,Faculty of Engineering and Natural Sciences,"['reverse logistics', 'multicriteria decision making', 'fuzzy sets its extensions', 'fuzzy multitarget mathematical programming', 'humanitarian logistics']"
Eylem İlker Oyman,School of Advanced Vocational Studies,"['software project management', 'enterprise software systems', 'software development processes', 'mobile multimedia communication', 'communication protocols', 'wireless sensor networks', 'database', 'data warehouse systems']"
Yeşim Öniz,Faculty of Engineering and Natural Sciences,['spiking neural networks adaptive neuro fuzzy system learning algorithms abs']
Mustafa Selçuk Özaydın,Faculty of Business,"['sports economics', 'applied microeconomics']"
Dolunay Özbek,Faculty of Law,"['jurisdiction over shipping', 'protection human rights sea', 'maritime security', 'public international law', 'irregular maritime migration', 'law sea', 'maritime delimitation']"
Muammer Özbek,Faculty of Engineering and Natural Sciences,"['dynamic', 'structural health monitoring wind earthquake response robotic systems', 'energy', 'mechanical', 'hydraulics']"
Gencer Özcan,Faculty of Social Sciences and Humanities,"['foreign policy türkiye', ""türkiye's eu membership pipelines"", 'syria', 'russia', 'iran', 'relations with israel', ' pkk', ""türkiye's military""]"
Meryem Özcan,Faculty of Business,"['selfdetermination theory', 'self identity workplace', 'leadership', 'organizational behavior', 'social sustainability', 'organizational psychology', 'sustainability organizations']"
Çağdaş Özer,School of Advanced Vocational Studies,"['cyber security', 'big data', 'blockchain', 'data mining', 'artificial intelligence']"
Dilara Fatoş Özer,Faculty of Health Sciences,"['special education', 'disability studies', 'inclusion', 'psychomotor development', 'early intervention']"
Bura Özgül,School of Advanced Vocational Studies,"['ottoman period food beverage', 'enterprises', 'mevlevi culinary structure', 'sukiyabashi jiro & el bulli & le gavroche', 'haute cuisine vs avant garde cuisine', '15th century fatih period culinary culture']"
